"TIME","FONTE","LOAD"
0,16.9951,0.539243
0.0064,16.9951,0.540018
0.0256,16.9952,0.541285
0.0512,16.9952,0.541626
0.078779636,16.9952,0.541993
0.078780148,16.9952,0.541993
0.0788797225,16.9952,0.541992
0.0788797625,16.9952,0.541992
0.0788800925,16.9952,0.541992
0.0788801425,16.9952,0.541992
0.0788822225,16.9952,0.541994
0.0788822625,16.9952,0.541994
0.0788825925,16.9952,0.541996
0.0788826425,16.9952,0.542003
0.0788836505,16.9946,0.542155
0.0788867225,16.9927,0.544367
0.0788908185,16.9818,0.551374
0.0788990105,16.9599,0.579115
0.0789153945,16.8645,0.688391
0.0789481625,16.5398,1.1128
0.0789737575,16.1918,1.62596
0.0789749655,16.1734,1.6541
0.0789762575,16.1536,1.68455
0.0789766975,16.1488,1.69496
0.0789774655,16.1547,1.71314
0.07897996,16.1735,1.77181
0.07897999,16.1738,1.77251
0.078980317,16.1765,1.78016
0.078980701,16.177,1.78914
0.07898246,16.1795,1.83011
0.07898249,16.1791,1.83081
0.078982817,16.1741,1.83842
0.078983201,16.1681,1.84736
0.078986785,16.112,1.9324
0.078990881,16.048,2.03304
0.078999073,15.9198,2.24514
0.079015457,15.6435,2.7109
0.079048225,15.0908,3.79402
0.079073785,14.6597,4.76537
0.07907382,14.6591,4.7667
0.07907426,14.6517,4.78441
0.079075028,14.6386,4.81533
0.079076285,14.6172,4.86613
0.07907632,14.6167,4.86755
0.079076632,14.6119,4.88016
0.079077528,14.6315,4.91638
0.0790800175,14.6858,5.0163
0.0790800525,14.6866,5.01771
0.0790803155,14.6927,5.0282
0.0790807635,14.703,5.04606
0.0790812755,14.7147,5.06639
0.0790825525,14.7234,5.11707
0.0790825675,14.7235,5.11766
0.0790830395,14.7155,5.13633
0.0790831035,14.7144,5.13888
0.0790870715,14.6479,5.29701
0.0790993595,14.4421,5.79981
0.0791157435,14.1789,6.49791
0.0791485115,13.6976,7.96771
0.0791738825,13.3746,9.15501
0.0791750905,13.3603,9.21258
0.0791763825,13.3452,9.2742
0.0791766945,13.3423,9.28904
0.0791775905,13.3729,9.33166
0.07918008,13.4578,9.44892
0.079180115,13.459,9.45057
0.079180378,13.4683,9.46285
0.079180826,13.484,9.48376
0.079181338,13.502,9.50751
0.079182615,13.5241,9.56673
0.07918263,13.5244,9.56742
0.079183326,13.5162,9.59953
0.079183838,13.5101,9.62327
0.079199198,13.3399,10.3354
0.079215582,13.1822,11.0951
0.07924835,12.9434,12.6007
0.079273945,12.8294,13.7459
0.079275153,12.8255,13.7992
0.079276445,12.8216,13.8561
0.079276757,12.8214,13.8698
0.079277653,12.8567,13.9091
0.0792801425,12.9547,14.0166
0.0792801775,12.9561,14.0181
0.0792804405,12.9667,14.0293
0.0792808885,12.9847,14.0484
0.0792814005,13.0052,14.07
0.0792826775,13.0348,14.1239
0.0792826925,13.0352,14.1245
0.0792833885,13.0332,14.1536
0.0792839005,13.0317,14.1747
0.0792992605,13.0003,14.8069
0.0793156445,12.9919,15.4581
0.0793484125,13.0486,16.6754
0.0793740075,13.1576,17.5375
0.0793752155,13.1641,17.5762
0.0793765075,13.1712,17.6174
0.0793768195,13.1733,17.6273
0.0793777155,13.2058,17.6556
0.079380205,13.2962,17.7322
0.07938024,13.2974,17.7333
0.079380503,13.3072,17.7412
0.079380951,13.3236,17.7547
0.079381463,13.3424,17.7698
0.07938274,13.3715,17.8076
0.079382755,13.3719,17.808
0.079383451,13.3762,17.8283
0.079383963,13.3794,17.8426
